Best Fitness, Average Fitness, Worst Fitness
345.0, 345.0, 345.0
345.0, 345.0, 345.0
333.0, 333.0, 333.0
345.0, 345.0, 345.0
345.0, 345.0, 345.0
345.0, 345.0, 345.0
345.0, 345.0, 345.0
349.0, 345.04, 345.0
349.0, 345.08, 345.0
349.0, 345.14, 345.0
349.0, 345.22, 345.0
349.0, 345.56, 345.0
336.0, 333.84, 333.0
349.0, 347.02, 345.0
349.0, 348.02, 345.0
349.0, 348.76, 345.0
349.0, 348.98, 345.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
336.0, 336.0, 336.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
336.0, 336.0, 336.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
336.0, 336.0, 336.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
349.0, 349.0, 349.0
362.0, 349.195, 349.0
362.0, 349.26, 349.0
362.0, 349.39, 349.0
362.0, 349.975, 349.0
340.0, 336.52, 336.0
362.0, 352.445, 349.0
362.0, 354.395, 349.0
362.0, 357.125, 349.0
362.0, 360.57, 349.0
362.0, 361.935, 349.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
340.0, 340.0, 340.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
362.0, 362.0, 362.0
342.0, 340.025, 340.0
364.0, 362.02, 362.0
364.0, 362.05, 362.0
364.0, 362.09, 362.0
364.0, 362.21, 362.0
364.0, 362.45, 362.0
364.0, 362.8, 362.0
364.0, 363.25, 362.0
364.0, 363.65, 362.0
364.0, 363.96, 362.0
342.0, 342.0, 342.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
342.0, 342.0, 342.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
350.0, 342.08, 342.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
364.0, 364.0, 364.0
342.0, 342.0, 342.0
383.0, 364.095, 364.0
383.0, 364.19, 364.0
383.0, 364.19, 364.0
383.0, 364.285, 364.0
383.0, 364.76, 364.0
383.0, 365.235, 364.0
383.0, 366.755, 364.0
383.0, 369.415, 364.0
383.0, 374.165, 364.0
356.0, 352.43, 342.0
383.0, 381.86, 364.0
383.0, 383.0, 383.0
383.0, 383.0, 383.0
384.0, 383.005, 383.0
384.0, 383.015, 383.0
384.0, 383.035, 383.0
386.0, 383.065, 383.0
386.0, 383.165, 383.0
386.0, 383.485, 383.0
364.0, 358.08, 356.0
386.0, 384.79, 383.0
386.0, 385.42, 383.0
386.0, 385.9, 383.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
376.0, 364.115, 363.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
364.0, 364.0, 364.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
364.0, 364.0, 364.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
386.0, 386.0, 386.0
387.0, 386.025, 386.0
387.0, 386.115, 386.0
387.0, 386.225, 386.0
387.0, 386.375, 386.0
387.0, 386.65, 386.0
365.0, 364.885, 364.0
387.0, 386.98, 386.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
365.0, 365.0, 365.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
365.0, 365.0, 365.0
387.0, 387.0, 387.0
387.0, 387.0, 387.0
388.0, 387.01, 387.0
388.0, 387.015, 387.0
390.0, 387.065, 387.0
390.0, 387.11, 387.0
390.0, 387.28, 387.0
391.0, 387.45, 387.0
390.0, 387.825, 387.0
371.0, 366.68, 365.0
391.0, 388.85, 387.0
391.0, 389.71, 387.0
391.0, 390.32, 387.0
391.0, 390.745, 390.0
391.0, 390.93, 390.0
391.0, 390.99, 390.0
391.0, 391.0, 391.0
391.0, 391.0, 391.0
391.0, 391.0, 391.0
371.0, 371.0, 371.0
391.0, 391.0, 391.0
